007,17-Mar-2013,01:30:03.22
003,17-Mar-2013,01:42:03.34
001,17-Mar-2013,01:51:03.23
004,17-Mar-2013,01:59:03.12
010,17-Mar-2013,02:02:03.35
002,17-Mar-2013,02:08:03.54
015,17-Mar-2013,02:09:03.56
014,17-Mar-2013,02:09:04.19
005,17-Mar-2013,02:09:05.35
008,17-Mar-2013,02:09:07.35
006,17-Mar-2013,02:12:03.21
018,17-Mar-2013,02:12:04.22
012,17-Mar-2013,02:14:03.15
017,17-Mar-2013,02:15:03.16
022,17-Mar-2013,02:17:03.17
020,17-Mar-2013,02:17:05.43
023,17-Mar-2013,02:17:09.53
021,17-Mar-2013,02:18:03.54
019,17-Mar-2013,02:19:03.43
009,17-Mar-2013,02:22:03.32
016,17-Mar-2013,02:23:03.31
011,17-Mar-2013,02:25:03.12
001,24-Mar-2013,01:30:03.22
002,24-Mar-2013,01:42:03.34
010,24-Mar-2013,01:51:03.23
009,24-Mar-2013,01:59:03.12
004,24-Mar-2013,02:02:03.35
008,24-Mar-2013,02:08:03.54
007,24-Mar-2013,02:09:03.56
011,24-Mar-2013,02:09:04.19
006,24-Mar-2013,02:09:05.35
018,24-Mar-2013,02:09:07.35
017,24-Mar-2013,02:12:03.21
012,24-Mar-2013,02:12:04.22
022,24-Mar-2013,02:14:03.15
020,24-Mar-2013,02:15:03.16
021,24-Mar-2013,02:17:03.17
023,24-Mar-2013,02:17:05.43
005,24-Mar-2013,02:17:09.53
019,24-Mar-2013,02:18:03.54
016,24-Mar-2013,02:19:03.43
015,24-Mar-2013,02:22:03.32
014,24-Mar-2013,02:23:03.31
003,24-Mar-2013,02:25:03.12
001,14-Apr-2013,01:30:03.22
002,14-Apr-2013,01:42:03.34
010,14-Apr-2013,01:51:03.23
009,14-Apr-2013,01:59:03.12
004,14-Apr-2013,02:02:03.35
008,14-Apr-2013,02:08:03.54
007,14-Apr-2013,02:09:03.56
011,14-Apr-2013,02:09:04.19
006,14-Apr-2013,02:09:05.35
018,14-Apr-2013,02:09:07.35
017,14-Apr-2013,02:12:03.21
012,14-Apr-2013,02:12:04.22
022,14-Apr-2013,02:14:03.15
020,14-Apr-2013,02:15:03.16
021,14-Apr-2013,02:17:03.17
023,14-Apr-2013,02:17:05.43
005,14-Apr-2013,02:17:09.53
019,14-Apr-2013,02:18:03.54
016,14-Apr-2013,02:19:03.43
015,14-Apr-2013,02:22:03.32
014,14-Apr-2013,02:23:03.31
003,14-Apr-2013,02:25:03.12
001,21-Apr-2013,01:30:03.22
002,21-Apr-2013,01:42:03.34
010,21-Apr-2013,01:51:03.23
009,21-Apr-2013,01:59:03.12
004,21-Apr-2013,02:02:03.35
008,21-Apr-2013,02:08:03.54
007,21-Apr-2013,02:09:03.56
011,21-Apr-2013,02:09:04.19
006,21-Apr-2013,02:09:05.35
018,21-Apr-2013,02:09:07.35
017,21-Apr-2013,02:12:03.21
012,21-Apr-2013,02:12:04.22
022,21-Apr-2013,02:14:03.15
020,21-Apr-2013,02:15:03.16
021,21-Apr-2013,02:17:03.17
023,21-Apr-2013,02:17:05.43
005,21-Apr-2013,02:17:09.53
019,21-Apr-2013,02:18:03.54
016,21-Apr-2013,02:19:03.43
015,21-Apr-2013,02:22:03.32
014,21-Apr-2013,02:23:03.31
