007,17-Mar-2013,01:30:03.22,25
003,17-Mar-2013,01:42:03.34,18
001,17-Mar-2013,01:51:03.23,15
004,17-Mar-2013,01:59:03.12,12
010,17-Mar-2013,02:02:03.35,10
002,17-Mar-2013,02:08:03.54,8
009,17-Mar-2013,02:09:03.56,6
014,17-Mar-2013,02:09:04.19,4
005,17-Mar-2013,02:09:05.35,2
008,17-Mar-2013,02:09:07.35,1
006,17-Mar-2013,02:12:03.21,0
018,17-Mar-2013,02:12:04.22,0
012,17-Mar-2013,02:14:03.15,0
017,17-Mar-2013,02:15:03.16,0
022,17-Mar-2013,02:17:03.17,0
020,17-Mar-2013,02:17:05.43,0
023,17-Mar-2013,02:17:09.53,0
021,17-Mar-2013,02:18:03.54,0
019,17-Mar-2013,02:19:03.43,0
015,17-Mar-2013,02:22:03.32,0
016,17-Mar-2013,02:23:03.31,0
011,17-Mar-2013,02:25:03.12,0
008,24-Mar-2013,01:30:03.22,25
015,24-Mar-2013,01:42:03.34,18
010,24-Mar-2013,01:51:03.23,15
002,24-Mar-2013,01:59:03.12,12
004,24-Mar-2013,02:02:03.35,10
001,24-Mar-2013,02:08:03.54,8
007,24-Mar-2013,02:09:03.56,6
011,24-Mar-2013,02:09:04.19,4
006,24-Mar-2013,02:09:05.35,2
018,24-Mar-2013,02:09:07.35,1
017,24-Mar-2013,02:12:03.21,0
012,24-Mar-2013,02:12:04.22,0
022,24-Mar-2013,02:14:03.15,0
020,24-Mar-2013,02:15:03.16,0
021,24-Mar-2013,02:17:03.17,0
023,24-Mar-2013,02:17:05.43,0
005,24-Mar-2013,02:17:09.53,0
019,24-Mar-2013,02:18:03.54,0
016,24-Mar-2013,02:19:03.43,0
009,24-Mar-2013,02:22:03.32,0
014,24-Mar-2013,02:23:03.31,0
003,24-Mar-2013,02:25:03.12,0
002,14-Apr-2013,01:30:03.22,25
001,14-Apr-2013,01:42:03.34,18
004,14-Apr-2013,01:51:03.23,15
015,14-Apr-2013,01:59:03.12,12
010,14-Apr-2013,02:02:03.35,10
008,14-Apr-2013,02:08:03.54,8
007,14-Apr-2013,02:09:03.56,6
011,14-Apr-2013,02:09:04.19,4
018,14-Apr-2013,02:09:05.35,2
006,14-Apr-2013,02:09:07.35,1
017,14-Apr-2013,02:12:03.21,0
012,14-Apr-2013,02:12:04.22,0
022,14-Apr-2013,02:14:03.15,0
020,14-Apr-2013,02:15:03.16,0
021,14-Apr-2013,02:17:03.17,0
023,14-Apr-2013,02:17:05.43,0
005,14-Apr-2013,02:17:09.53,0
019,14-Apr-2013,02:18:03.54,0
016,14-Apr-2013,02:19:03.43,0
009,14-Apr-2013,02:22:03.32,0
014,14-Apr-2013,02:23:03.31,0
003,14-Apr-2013,02:25:03.12,0
010,21-Apr-2013,01:30:03.22,25
001,21-Apr-2013,01:42:03.34,18
002,21-Apr-2013,01:51:03.23,15
004,21-Apr-2013,01:59:03.12,12
015,21-Apr-2013,02:02:03.35,10
011,21-Apr-2013,02:08:03.54,8
007,21-Apr-2013,02:09:03.56,6
008,21-Apr-2013,02:09:04.19,4
006,21-Apr-2013,02:09:05.35,2
018,21-Apr-2013,02:09:07.35,1
017,21-Apr-2013,02:12:03.21,0
012,21-Apr-2013,02:12:04.22,0
022,21-Apr-2013,02:14:03.15,0
020,21-Apr-2013,02:15:03.16,0
021,21-Apr-2013,02:17:03.17,0
023,21-Apr-2013,02:17:05.43,0
005,21-Apr-2013,02:17:09.53,0
019,21-Apr-2013,02:18:03.54,0
016,21-Apr-2013,02:19:03.43,0
009,21-Apr-2013,02:22:03.32,0
014,21-Apr-2013,02:23:03.31,0
003,21-Apr-2013,02:25:03.12,0
015,12-May-2013,01:30:03.22,25
010,12-May-2013,01:42:03.34,18
004,12-May-2013,01:51:03.23,15
001,12-May-2013,01:59:03.12,12
002,12-May-2013,02:02:03.35,10
008,12-May-2013,02:08:03.54,8
007,12-May-2013,02:09:03.56,6
011,12-May-2013,02:09:04.19,4
006,12-May-2013,02:09:05.35,2
018,12-May-2013,02:09:07.35,1
017,12-May-2013,02:12:03.21,0
012,12-May-2013,02:12:04.22,0
022,12-May-2013,02:14:03.15,0
020,12-May-2013,02:15:03.16,0
021,12-May-2013,02:17:03.17,0
023,12-May-2013,02:17:05.43,0
005,12-May-2013,02:17:09.53,0
019,12-May-2013,02:18:03.54,0
016,12-May-2013,02:19:03.43,0
009,12-May-2013,02:22:03.32,0
014,12-May-2013,02:23:03.31,0
003,12-May-2013,02:25:03.12,0
008,26-May-2013,01:30:03.22,25
002,26-May-2013,01:42:03.34,18
010,26-May-2013,01:51:03.23,15
015,26-May-2013,01:59:03.12,12
004,26-May-2013,02:02:03.35,10
001,26-May-2013,02:08:03.54,8
007,26-May-2013,02:09:03.56,6
011,26-May-2013,02:09:04.19,4
006,26-May-2013,02:09:05.35,2
018,26-May-2013,02:09:07.35,1
017,26-May-2013,02:12:03.21,0
012,26-May-2013,02:12:04.22,0
022,26-May-2013,02:14:03.15,0
020,26-May-2013,02:15:03.16,0
021,26-May-2013,02:17:03.17,0
023,26-May-2013,02:17:05.43,0
005,26-May-2013,02:17:09.53,0
019,26-May-2013,02:18:03.54,0
016,26-May-2013,02:19:03.43,0
009,26-May-2013,02:22:03.32,0
014,26-May-2013,02:23:03.31,0
003,26-May-2013,02:25:03.12,0
004,09-Jun-2013,01:30:03.22,25
001,09-Jun-2013,01:42:03.34,18
